time,0,1,2,3,4,5,6,7
1645219526.4709563,30.0,31.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219526.8064458,30.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219527.142282,30.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219527.4778202,30.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219527.8134046,30.0,30.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219528.1493435,30.0,30.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219528.4849088,30.0,30.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219528.820455,30.0,30.0,29.0,30.0,31.0,29.0,30.0,29.0
1645219529.1563802,30.0,30.0,29.0,30.0,31.0,29.0,30.0,29.0
1645219529.4919205,30.0,30.0,29.0,30.0,31.0,29.0,30.0,29.0
1645219529.8274689,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219530.1632895,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219530.498834,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219530.8343954,30.0,31.0,29.0,30.0,29.0,29.0,29.0,29.0
1645219531.1704013,30.0,31.0,29.0,30.0,29.0,29.0,29.0,29.0
1645219531.5059447,30.0,31.0,29.0,30.0,29.0,29.0,29.0,29.0
1645219531.8414962,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219532.1773338,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219532.5128427,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219532.8484068,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219533.1844609,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219533.5200105,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219533.8555682,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219534.191453,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219534.5270092,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219534.862589,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219535.1983976,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219535.5339541,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219535.8697224,30.0,30.0,29.0,29.0,30.0,29.0,30.0,30.0
1645219536.205593,30.0,30.0,29.0,29.0,30.0,29.0,30.0,30.0
1645219536.5411313,30.0,30.0,29.0,29.0,30.0,29.0,30.0,30.0
1645219536.8766456,29.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219537.2124465,29.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219537.5475438,29.0,30.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219537.8831267,30.0,30.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219538.2190328,30.0,30.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219538.5546136,30.0,30.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219538.890146,30.0,30.0,31.0,29.0,30.0,29.0,29.0,29.0
1645219539.2261589,30.0,30.0,31.0,29.0,30.0,29.0,29.0,29.0
1645219539.5617454,30.0,30.0,31.0,29.0,30.0,29.0,29.0,29.0
1645219539.897291,30.0,31.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219540.2332904,30.0,31.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219540.5688226,30.0,31.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219540.9042947,30.0,31.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219541.2401195,30.0,31.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219541.5756633,30.0,31.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219541.9112265,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0
1645219542.247048,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0
1645219542.5825858,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0
1645219542.9181285,30.0,31.0,30.0,29.0,30.0,29.0,29.0,30.0
1645219543.2541153,30.0,31.0,30.0,29.0,30.0,29.0,29.0,30.0
1645219543.589674,30.0,31.0,30.0,29.0,30.0,29.0,29.0,30.0
1645219543.9252176,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0
1645219544.2611265,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0
1645219544.596692,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0
1645219544.9321723,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219545.2681053,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219545.6037369,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219545.9391766,30.0,31.0,30.0,29.0,29.0,29.0,29.0,30.0
1645219546.2750173,30.0,31.0,30.0,29.0,29.0,29.0,29.0,30.0
1645219546.610677,30.0,31.0,30.0,29.0,29.0,29.0,29.0,30.0
1645219546.9462209,30.0,31.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219547.2821462,30.0,31.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219547.6176653,30.0,31.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219547.953194,30.0,30.0,30.0,29.0,29.0,29.0,29.0,30.0
1645219548.2890122,30.0,30.0,30.0,29.0,29.0,29.0,29.0,30.0
1645219548.6246777,30.0,30.0,30.0,29.0,29.0,29.0,29.0,30.0
1645219548.9602094,30.0,31.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219549.2960687,30.0,31.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219549.6316426,30.0,31.0,29.0,29.0,30.0,29.0,29.0,29.0
1645219549.9672134,30.0,30.0,29.0,29.0,29.0,29.0,29.0,29.0
1645219550.3031552,30.0,30.0,29.0,29.0,29.0,29.0,29.0,29.0
