"","x"
"1162",16.62
"1163",25
"1164",19
"1165",17
"1166",20
"1167",20
"1168",27.05
"1169",22.6
"1170",19.9
"1171",28
"1172",19
"1173",15.05
"1174",17.5
"1175",19.49
"1176",12.8
"1177",56
"1178",12.5
"1179",15
"1180",25.36
"1181",17.15
"1182",17.22
"1183",9
"1184",20
"1185",35.5
"1186",32.67
"1187",13.5
"1188",12.5
"1189",12
"1190",15.6
"1191",19.57
"1192",47
"1193",16
"1194",12
"1195",8.5
"1196",10
"1197",9
"1198",20
"1199",40
"1200",12.2
"1201",23.77
"1202",27
"1203",40
"1204",38
"1205",28
"1206",37
"1207",21.5
"1208",30.32
"1209",35
"1210",16.77
"1211",13.13
"1212",38
"1213",12
"1214",72.12
"1215",19
"1216",13
"1217",17
"1218",16
"1219",16
"1220",23
"1221",10
"1222",29.5
"1223",11.22
"1224",16
"1225",37.5
"1226",15
"1227",22.25
"1228",10
"1229",7.25
"1230",19
"1231",11
"1232",14
"1233",32
"1234",28
"1235",17
"1236",17
"1237",12
"1238",18.5
"1239",18
"1240",13.39
"1241",30
"1242",6.38
"1243",28.63
"1244",52
"1245",32
"1246",14.4
"1247",26.5
"1248",39.68
"1249",20
"1250",11
"1251",15
"1252",28
"1253",13
"1254",23.5
"1255",25
"1256",18
"1257",12.39
"1258",12.7
"1259",17
"1260",12
"1261",9.5
"1262",13.25
"1263",15.44
"1264",14
"1265",10
"1266",14.5
"1267",9.32
"1268",14.5
"1269",17
"1270",15
"1271",13
"1272",8
"1273",15
"1274",10
"1275",9.15
"1276",24
"1277",13.6
"1278",17
"1279",50
"1280",25
"1281",27
"1282",15.15
"1283",18
"1284",12.25
"1285",29
"1286",15
"1287",15.2
"1288",10.65
"1289",30
"1290",40
"1291",18.41
"1292",16.75
"1293",11
"1294",16
"1295",11.26
"1296",13.25
"1297",17.8
"1298",17
"1299",13.4
"1300",9
"1301",18
"1302",27
"1303",13
"1304",15.25
"1305",12
"1306",23
"1307",35
"1308",11.92
"1309",22
"1310",14.25
"1311",15.4
"1312",51.44
"1313",34
"1314",30
"1315",17.5
"1316",20
"1317",26
"1318",35
"1319",8
"1320",31
"1321",34.5
"1322",20
"1323",22
"1324",15
"1325",7.73
"1326",24.5
"1327",27.34
"1328",22
"1329",24.96
"1330",9.5
"1331",18.01
"1332",10
"1333",12.39
"1334",17
"1335",0
"1336",12
"1337",9.45
"1338",35
"1339",27.34
"1340",25
"1341",16
"1342",22.85
"1343",19
"1344",13.25
"1345",20
"1346",35
"1347",19
"1348",21
"1349",12.5
"1350",17.21
"1351",23.09
"1352",13.5
"1353",36
"1354",26
"1355",43
"1356",13.5
"1357",18.25
"1358",16
"1359",17.85
"1360",10
"1361",33.38
"1362",2.83
"1363",30
"1364",19
"1365",33.8
"1366",25
"1367",22
"1368",17.21
"1369",18
"1370",13
"1371",13.9
