"","x"
"1395",570
"1396",450
"1397",480
"1398",300
"1399",440
"1400",480
"1401",405
"1402",390
"1403",440
"1404",480
"1405",600
"1406",450
"1407",450
"1408",585
"1409",490
"1410",330
"1411",480
"1412",390
"1413",510
"1414",330
"1415",360
"1416",540
"1417",420
"1418",375
"1419",510
"1420",450
"1421",450
"1422",420
"1423",360
"1424",480
"1425",480
"1426",420
"1427",420
"1428",390
"1429",390
"1430",400
"1431",510
"1432",360
"1433",480
"1434",480
"1435",380
"1436",660
"1437",390
"1438",400
"1439",360
"1440",540
"1441",510
"1442",390
"1443",540
"1444",390
"1445",420
"1446",360
"1447",420
"1448",525
"1449",405
"1450",420
"1451",540
"1452",570
"1453",600
"1454",420
"1455",420
"1456",390
"1457",480
"1458",600
"1459",420
"1460",420
"1461",270
"1462",520
"1463",525
"1464",510
"1465",390
"1466",390
"1467",510
"1468",360
"1469",420
"1470",540
"1471",600
"1472",480
"1473",450
"1474",450
"1475",540
"1476",380
"1477",420
"1478",480
"1479",510
"1480",360
"1481",420
"1482",600
"1483",405
"1484",480
"1485",390
"1486",390
"1487",540
"1488",390
"1489",330
"1490",390
"1491",400
"1492",420
"1493",510
"1494",360
"1495",405
"1496",300
"1497",390
"1498",450
"1499",450
"1500",480
"1501",540
"1502",420
"1503",390
"1504",330
"1505",360
"1506",390
"1507",450
"1508",480
"1509",420
"1510",480
"1511",540
"1512",420
"1513",420
"1514",420
"1515",510
"1516",420
"1517",450
"1518",450
"1519",360
"1520",420
"1521",420
"1522",450
"1523",480
"1524",480
"1525",510
"1526",450
"1527",480
"1528",450
"1529",420
"1530",540
"1531",480
"1532",420
"1533",420
"1534",450
"1535",420
"1536",480
"1537",540
"1538",540
"1539",510
"1540",480
"1541",420
"1542",450
"1543",450
"1544",420
"1545",450
"1546",420
"1547",480
"1548",420
"1549",375
"1550",360
"1551",390
"1552",420
"1553",450
"1554",435
"1555",390
"1556",450
"1557",480
"1558",420
"1559",480
"1560",480
"1561",480
"1562",480
"1563",480
"1564",390
"1565",450
"1566",410
"1567",360
"1568",480
"1569",510
"1570",330
"1571",660
"1572",450
"1573",420
"1574",450
"1575",450
"1576",480
"1577",360
"1578",420
"1579",405
"1580",450
"1581",600
"1582",420
"1583",363
"1584",390
"1585",330
"1586",480
"1587",570
"1588",540
"1589",540
"1590",480
"1591",405
"1592",360
"1593",480
"1594",300
"1595",480
"1596",390
"1597",375
"1598",600
"1599",510
"1600",540
"1601",480
"1602",630
"1603",630
"1604",390
"1605",480
"1606",450
"1607",540
"1608",420
"1609",420
"1610",390
"1611",375
"1612",420
"1613",510
"1614",480
"1615",360
"1616",360
"1617",480
"1618",540
"1619",600
"1620",435
"1621",390
"1622",420
"1623",420
"1624",240
"1625",450
"1626",480
