"","TRTFRIEND","TRTSPONLY","TRTCCC","TRTALONE","TRTFAMILY","TRCHILDNUM"
"423",0,75,30,70,191,1
"424",0,0,0,212,183,0
"425",0,0,60,185,175,2
"426",0,0,0,840,0,0
"427",0,245,0,90,375,2
"428",0,240,0,630,240,0
"429",0,0,0,160,260,3
"430",0,0,0,60,670,0
"431",0,0,0,260,0,0
"432",0,0,0,182,243,1
"433",0,0,20,65,514,1
"434",190,0,0,775,0,0
"435",0,0,0,50,705,1
"436",0,375,0,70,860,0
"437",0,110,0,127,165,2
"438",300,50,0,530,50,0
"439",0,0,0,175,195,0
"440",0,0,0,155,0,0
"441",0,15,0,585,15,0
"442",0,690,0,0,690,0
"443",0,0,0,20,420,1
"444",0,859,0,17,859,0
"445",0,0,0,115,365,3
"446",0,140,0,330,560,2
"447",0,535,0,215,535,0
"448",0,160,0,170,790,1
"449",0,240,0,790,240,0
"450",0,0,0,780,0,0
"451",0,670,0,115,670,0
"452",346,0,309,125,0,0
"453",0,0,5,595,0,0
"454",0,41,0,499,281,1
"455",0,0,0,660,150,0
"456",0,0,0,510,270,1
"457",0,0,0,500,0,0
"458",0,0,0,695,0,0
"459",0,15,0,622,218,0
"460",0,305,0,450,445,2
"461",0,950,0,0,950,0
"462",0,0,0,595,0,0
"463",0,0,30,87,0,0
"464",0,0,0,765,90,0
"465",0,0,45,125,0,0
"466",0,120,0,455,370,2
"467",0,60,0,750,60,0
"468",0,0,60,169,222,2
"469",0,0,0,780,0,0
"470",0,405,0,135,405,0
"471",120,0,0,690,0,0
"472",0,0,0,90,0,0
"473",0,0,0,740,0,0
"474",465,0,0,20,795,2
"475",0,0,0,780,0,0
"476",0,0,0,705,0,0
"477",0,100,0,30,407,3
"478",0,135,0,230,510,0
"479",0,0,45,100,340,0
"480",0,0,0,940,0,0
"481",0,0,0,450,30,0
"482",0,125,0,90,765,2
"483",0,0,0,365,0,2
"484",0,120,15,0,120,0
"485",0,0,0,720,0,0
"486",0,150,15,168,367,1
"487",0,595,0,25,800,0
"488",0,0,0,300,0,0
"489",0,0,0,0,860,2
"490",113,383,0,269,383,0
"491",0,30,0,110,425,2
"492",0,820,0,0,820,0
"493",0,100,0,40,830,2
"494",0,403,0,477,403,0
"495",0,0,0,125,775,2
"496",15,282,0,196,724,1
"497",0,250,0,405,400,0
"498",0,0,0,570,0,0
"499",0,50,0,330,50,0
"500",0,0,0,0,0,0
"501",0,0,67,185,65,1
"502",0,735,0,210,735,0
"503",0,0,0,844,0,0
"504",0,0,0,315,30,2
"505",70,0,0,350,0,0
"506",0,30,0,117,393,2
"507",0,135,0,0,450,2
"508",0,750,0,0,870,0
"509",0,0,0,210,135,1
"510",0,30,0,519,405,2
"511",338,0,0,472,0,0
"512",0,60,0,430,290,1
"513",0,0,60,130,180,2
"514",0,0,17,331,0,0
"515",0,0,79,401,0,0
"516",0,0,0,555,0,0
"517",0,0,0,609,301,0
"518",0,0,0,450,450,0
"519",0,0,0,295,0,0
"520",0,0,35,0,320,3
"521",0,0,0,201,175,4
"522",0,20,0,505,155,0
"523",0,150,0,0,840,1
"524",0,0,0,447,536,1
"525",0,285,0,305,405,0
"526",0,0,0,400,0,0
"527",0,0,0,255,0,0
"528",0,120,30,235,665,3
"529",0,0,0,235,0,1
"530",0,305,40,115,320,0
"531",0,0,0,930,60,0
"532",0,50,0,120,520,2
"533",0,0,0,690,0,0
"534",0,0,0,1080,0,0
"535",0,0,0,90,0,0
"536",0,0,0,30,870,1
"537",0,0,0,250,0,0
"538",135,0,0,900,0,0
"539",0,0,0,405,565,1
"540",0,0,0,360,630,1
"541",10,0,0,1115,0,0
"542",87,0,0,618,0,0
"543",0,0,0,930,0,0
"544",0,0,0,660,0,0
"545",0,0,0,840,0,0
"546",0,495,0,300,555,0
"547",0,10,0,400,525,3
"548",0,140,70,103,140,0
"549",0,0,0,271,586,0
"550",0,0,0,825,0,0
"551",0,0,75,450,0,0
"552",0,0,0,710,0,0
"553",0,0,0,268,395,1
"554",0,0,75,150,0,1
"555",0,655,0,0,655,0
"556",0,0,0,665,205,0
"557",0,720,0,20,720,0
"558",0,130,0,105,345,1
"559",0,0,0,725,0,0
"560",0,456,0,185,625,1
"561",0,80,0,0,560,0
"562",0,330,0,345,330,1
"563",70,0,0,130,200,1
"564",0,30,0,495,405,3
"565",0,0,0,60,715,0
"566",0,45,0,125,45,0
"567",0,0,0,820,0,0
"568",50,170,0,640,227,0
"569",0,0,0,270,30,0
"570",0,470,0,520,470,0
"571",0,0,0,500,190,0
"572",300,0,0,471,0,0
"573",0,0,0,840,0,0
"574",0,180,0,460,410,0
"575",0,0,0,795,0,0
"576",0,0,0,1080,0,0
"577",0,0,0,270,270,1
"578",0,0,0,140,582,1
"579",0,0,0,0,360,2
"580",0,60,0,0,720,2
"581",0,0,0,521,0,0
"582",0,0,0,510,360,0
"583",0,0,0,205,375,3
"584",0,40,0,365,505,3
"585",0,165,0,105,240,3
"586",0,0,0,842,60,0
"587",0,0,0,60,630,2
"588",0,0,0,720,150,0
"589",0,350,0,375,350,0
"590",0,0,0,750,0,1
"591",0,0,70,445,0,0
"592",0,420,0,300,420,0
"593",0,0,0,0,780,5
"594",0,15,0,30,945,2
"595",0,0,0,1060,0,0
"596",0,0,0,746,35,1
"597",0,545,0,60,545,0
"598",120,500,0,370,500,0
"599",0,633,0,95,633,0
"600",0,25,0,287,490,5
"601",0,225,60,62,225,0
"602",0,555,0,80,690,2
"603",0,0,0,875,0,0
"604",0,0,30,275,260,4
"605",0,0,0,580,0,0
"606",0,30,0,55,435,1
"607",0,150,0,25,905,2
"608",0,0,0,260,0,0
"609",0,0,0,380,0,0
"610",0,395,0,495,395,0
"611",210,0,0,405,165,0
"612",0,0,5,395,61,2
"613",0,0,0,317,673,0
"614",10,0,0,150,700,6
"615",0,750,0,0,750,0
"616",0,45,0,492,498,1
"617",0,0,0,870,0,0
"618",0,0,10,490,70,2
"619",0,0,0,100,400,1
"620",0,0,0,830,0,0
"621",0,0,0,283,402,0
"622",0,535,0,340,535,0
"623",0,14,0,477,403,0
"624",0,0,120,250,0,0
"625",0,705,0,0,810,0
"626",0,0,0,410,0,0
"627",0,150,0,90,300,1
"628",0,0,0,645,0,0
"629",0,0,0,840,0,0
"630",0,0,0,580,0,0
"631",240,0,0,600,0,0
"632",0,0,0,870,0,0
"633",40,45,55,200,115,0
"634",0,165,0,130,680,2
"635",0,0,0,975,0,0
"636",0,0,0,60,630,1
"637",818,352,0,75,615,0
"638",335,0,0,145,540,2
"639",0,0,0,570,0,0
"640",0,160,0,229,190,2
"641",0,120,0,110,331,2
"642",0,0,0,858,0,0
"643",0,240,0,135,240,0
"644",0,0,0,526,35,0
"645",0,0,0,210,405,0
"646",90,0,0,740,0,0
"647",0,770,0,100,770,0
"648",122,0,0,655,0,0
"649",210,0,0,190,815,0
"650",0,0,0,380,110,1
"651",0,0,0,765,0,0
"652",0,0,0,900,15,0
"653",0,900,0,0,900,0
"654",0,0,0,30,145,1
"655",0,0,30,20,0,0
"656",0,760,0,170,760,0
"657",0,305,0,105,825,0
"658",0,0,0,960,0,0
"659",0,0,0,0,720,3
"660",0,237,0,384,450,3
"661",248,0,0,421,0,0
"662",0,633,0,312,633,0
"663",0,0,0,163,342,1
"664",0,0,0,410,0,0
"665",0,0,24,416,0,0
"666",0,430,0,530,430,0
"667",0,60,0,890,60,0
"668",0,425,0,515,425,0
"669",0,0,0,730,0,0
"670",293,389,0,90,682,0
"671",0,355,0,515,355,0
"672",210,0,0,139,235,0
"673",0,140,0,80,240,3
"674",0,0,0,89,291,2
"675",0,1170,0,0,1170,0
"676",0,0,0,600,0,0
"677",0,0,0,722,0,0
"678",0,0,0,230,640,0
"679",0,0,30,340,0,0
"680",0,240,0,470,240,0
"681",0,1,0,150,810,3
"682",0,0,0,855,0,0
"683",0,0,0,735,120,0
"684",0,0,0,438,0,0
"685",0,165,0,95,195,0
"686",0,108,0,175,416,1
"687",0,0,185,165,0,3
"688",0,0,0,885,0,0
"689",0,0,0,550,0,0
"690",180,30,0,205,685,1
"691",0,330,0,780,330,0
"692",0,351,0,519,421,0
"693",0,0,0,1035,0,0
"694",0,0,0,495,15,0
"695",60,0,0,185,700,0
"696",0,0,0,130,493,5
"697",0,0,0,1065,0,0
"698",0,0,0,133,350,1
"699",110,0,0,330,0,0
"700",0,840,0,0,840,0
"701",0,505,0,140,505,0
"702",0,0,0,960,0,0
"703",0,0,0,752,0,0
"704",0,0,0,392,390,1
"705",0,610,0,151,655,0
"706",0,0,0,260,346,1
"707",120,125,0,400,275,0
"708",0,0,0,0,810,2
"709",0,0,111,115,250,0
"710",0,258,40,65,325,1
"711",0,458,0,105,645,0
"712",0,120,30,200,150,1
"713",0,0,0,690,0,0
"714",0,630,0,60,630,0
"715",0,0,0,730,0,0
"716",0,328,0,410,328,0
"717",0,0,0,355,415,2
"718",0,0,0,15,0,3
"719",0,0,0,990,0,0
"720",0,0,0,0,745,4
"721",0,0,0,275,0,0
"722",0,0,90,104,0,4
"723",0,250,60,75,270,0
"724",0,90,0,660,90,0
"725",0,0,0,720,0,0
"726",230,575,0,0,805,0
"727",185,0,0,595,0,0
"728",0,0,30,437,0,1
"729",0,0,15,30,185,2
"730",0,410,15,30,410,0
"731",0,75,0,755,75,0
"732",0,270,0,450,330,0
"733",0,0,0,105,0,0
"734",0,0,0,540,180,0
"735",0,0,0,75,0,0
"736",280,300,0,290,300,0
"737",60,0,0,928,0,0
"738",0,0,0,360,500,0
"739",0,41,60,131,176,2
"740",0,60,0,570,60,0
"741",0,0,0,600,0,0
"742",0,0,0,780,0,0
"743",0,420,0,45,420,0
"744",0,0,0,285,170,1
"745",0,0,0,422,0,0
"746",0,70,0,55,725,3
"747",0,0,0,580,90,0
"748",0,0,0,750,0,0
"749",270,125,0,120,595,3
"750",0,0,0,0,635,1
"751",0,0,0,645,0,0
"752",0,200,35,30,200,0
"753",0,70,0,290,145,1
"754",0,165,0,125,165,0
"755",0,0,0,840,90,0
"756",0,80,0,60,690,4
"757",0,656,0,99,791,0
"758",0,0,0,690,0,0
"759",0,0,0,780,0,0
"760",0,0,0,765,120,0
"761",0,0,0,870,0,0
"762",0,0,0,510,345,0
"763",0,0,0,454,30,0
"764",0,180,0,150,585,2
"765",0,0,0,150,0,0
"766",0,330,0,405,330,0
"767",0,180,0,50,820,2
"768",0,0,60,220,30,2
"769",0,580,0,30,700,0
"770",0,0,0,473,0,0
"771",0,0,0,755,0,0
"772",0,0,0,780,0,0
"773",0,0,0,540,0,0
"774",0,0,0,510,0,0
"775",300,171,0,169,471,0
"776",0,695,0,85,695,0
"777",0,0,0,450,0,0
"778",0,0,0,150,30,0
"779",180,0,0,930,0,0
"780",0,0,0,65,270,0
"781",0,60,0,125,60,0
"782",0,120,0,460,380,0
"783",0,0,39,360,0,0
"784",0,0,0,445,185,0
"785",0,0,0,238,0,0
"786",0,0,0,915,0,0
"787",0,392,0,449,392,0
"788",0,480,0,150,676,0
"789",0,0,60,38,250,3
"790",0,0,0,720,30,0
"791",0,0,0,630,0,0
"792",0,840,0,65,840,0
"793",420,0,0,435,0,0
"794",120,40,0,175,570,0
"795",0,573,0,177,663,0
"796",0,0,0,164,543,2
"797",235,0,0,485,0,0
"798",0,55,20,130,75,2
"799",0,185,0,105,585,1
"800",130,220,0,300,350,0
"801",0,0,0,1030,0,0
"802",0,30,30,30,45,2
"803",0,0,30,145,220,0
"804",0,0,0,415,335,1
"805",185,0,0,595,0,0
"806",0,0,0,586,0,0
"807",0,90,0,305,90,0
"808",0,660,0,0,660,0
"809",0,0,0,690,0,0
"810",0,100,0,95,750,2
"811",0,0,0,325,0,0
"812",0,0,0,725,0,0
"813",0,0,0,840,0,0
"814",0,0,0,900,0,0
"815",0,50,15,155,50,2
"816",0,475,0,118,692,0
"817",0,0,0,160,620,2
"818",0,0,0,735,0,0
"819",0,0,0,680,180,0
"820",7,0,0,175,125,3
"821",280,0,0,565,0,0
"822",457,0,0,271,0,0
"823",0,0,0,171,0,0
"824",0,0,60,30,0,0
"825",0,0,0,600,125,0
"826",0,0,0,455,390,1
"827",0,0,0,380,461,2
"828",0,0,0,470,340,2
"829",0,0,0,7,530,2
"830",0,0,0,120,0,0
"831",0,0,30,90,0,0
"832",0,0,0,663,0,0
"833",0,0,0,585,60,0
"834",0,0,0,0,0,0
"835",431,0,431,165,570,2
"836",235,0,0,290,150,1
"837",30,0,0,125,90,2
"838",0,0,0,825,15,1
"839",0,0,0,288,0,2
"840",360,0,0,320,10,0
"841",0,0,0,490,180,0
"842",0,0,0,440,40,2
"843",210,0,127,475,30,0
"844",0,0,0,210,0,0
"845",0,240,0,50,240,0
"846",15,0,0,345,383,2
"847",0,0,0,340,0,0
"848",0,0,0,450,473,2
"849",160,0,0,90,0,1
"850",0,0,0,14,0,0
"851",0,0,0,160,30,1
"852",30,0,0,425,0,1
"853",0,0,0,565,31,2
"854",0,0,0,360,0,0
"855",0,0,0,165,105,1
"856",199,0,0,326,40,2
"857",90,0,0,150,210,1
"858",50,0,0,235,15,0
"859",0,0,0,415,230,2
"860",0,0,0,410,410,0
"861",0,0,540,160,70,0
"862",0,222,0,94,297,3
"863",0,280,0,303,280,0
"864",0,0,0,990,0,0
"865",0,0,30,370,0,0
"866",0,640,0,0,1080,0
"867",0,0,0,540,0,0
"868",0,179,0,345,630,2
"869",0,490,0,338,490,0
"870",0,690,0,150,690,0
"871",0,0,0,690,0,0
"872",0,0,0,5,835,2
"873",0,0,0,220,90,2
"874",0,0,0,190,0,0
"875",0,403,0,359,403,0
"876",0,225,0,150,860,2
"877",0,0,0,277,0,0
"878",0,214,0,138,687,3
"879",0,0,0,528,277,0
"880",0,600,0,285,600,0
"881",0,0,0,870,0,0
"882",0,0,0,810,0,0
"883",0,0,0,650,0,0
"884",0,0,0,705,0,0
"885",0,0,0,872,0,0
"886",0,0,0,1026,0,0
"887",0,240,0,115,240,0
"888",125,0,0,655,0,0
"889",0,0,0,795,0,0
"890",0,242,0,276,550,0
"891",0,250,0,54,250,0
"892",0,0,0,745,0,0
"893",0,0,0,480,0,0
