"","x"
"667",550
"668",2200
"669",769.23
"670",680
"671",1538.46
"672",184.61
"673",1295.8
"674",900
"675",637.5
"676",2884.61
"677",2500
"678",2884.61
"679",110
"680",540
"681",900
"682",55
"683",2884.61
"684",73.84
"685",2884.61
"686",807.69
"687",381.6
"688",800
"689",750
"690",680
"691",1846.15
"692",275
"693",324
"694",2109.6
"695",1408
"696",2403.84
"697",2115.38
"698",2403.84
"699",900
"700",1057
"701",1750
"702",750
"703",576.92
"704",1000
"705",1250
"706",918.72
"707",540
"708",1245
"709",600
"710",1923.07
"711",961.53
"712",1250
"713",461.53
"714",840
"715",600
"716",210
"717",1326.92
"718",420
"719",200
"720",320.64
"721",2000
"722",1292.3
"723",1346.15
"724",520
"725",1000
"726",1000
"727",1307.69
"728",1634.61
"729",1212
"730",700
"731",384.61
"732",634.61
"733",404
"734",525
"735",320
"736",960
"737",2307.69
"738",1440
"739",2884.61
"740",2884.61
"741",1153.84
"742",750
"743",250
"744",1000
"745",880
"746",1107.2
"747",947
"748",600
"749",560
"750",2307
"751",469.5
"752",1826.92
"753",969.23
"754",510.4
"755",876.92
"756",461.53
"757",2500
"758",950
"759",1538.46
"760",400
"761",400
"762",1923.07
"763",1083.33
"764",1019.23
"765",1100
"766",840
"767",1916
"768",995.19
"769",1673.07
"770",210
"771",1730.76
"772",961.53
"773",69.23
"774",1153.84
"775",2600
"776",865.38
"777",1153.84
"778",1884.61
"779",450
"780",468
"781",320
"782",165
"783",1153.84
"784",525
"785",1096.15
"786",2884.61
"787",500
"788",552
"789",160
"790",160
"791",961.53
"792",150
"793",770
"794",580
"795",597.8
"796",1320
"797",1000
"798",711.53
"799",2115.38
"800",1057.69
"801",1288.46
"802",1730.76
"803",412
"804",971.15
"805",2884.61
"806",1423.07
"807",1730.76
"808",1442.3
"809",510
"810",760
"811",600
"812",1153.84
"813",1211.53
"814",1666.66
"815",1461.53
"816",550
"817",400
"818",1923.07
"819",946.15
"820",1634.61
"821",780
"822",752.6
"823",1000
"824",1000
"825",673.07
"826",2307.69
"827",2884.61
"828",1923.07
"829",768
"830",1153.84
"831",720
"832",461.53
"833",1634.61
"834",1057.69
"835",1538.46
"836",211.53
"837",2307
"838",576.92
"839",1346.15
"840",1583
"841",1923.07
"842",230
"843",1520
"844",507.69
"845",720
"846",2288.46
"847",2692.3
"848",720
"849",450
"850",475
"851",1000
"852",1240
"853",1057.69
"854",2884.61
"855",2884.61
"856",457.5
"857",442.5
"858",711.53
"859",200
"860",350
"861",102
"862",100
"863",800
"864",653.84
"865",680
"866",1520
"867",557.69
"868",750
"869",1413.46
"870",1192
"871",1560.8
"872",1842
"873",1325
"874",680
"875",2307.69
"876",1240
"877",2884.61
"878",1120
"879",1403.84
"880",961.53
"881",42.5
"882",2884.61
"883",1153.84
"884",2884.61
"885",900
"886",1192.3
"887",1346.15
"888",1615.38
"889",1057
"890",650
"891",859.53
"892",1615.38
"893",961.53
"894",1150
"895",1836.73
"896",1346.15
"897",600
"898",2192
"899",1153.84
"900",2211.53
"901",1230.76
"902",738.46
"903",2327.5
"904",673.07
"905",100
"906",1346.15
"907",1038.46
"908",884.61
"909",1662.5
"910",1800
"911",408
"912",961.53
"913",563.48
"914",738.46
"915",1050
"916",1980
"917",865.38
"918",609
"919",150
"920",150
"921",76.5
"922",269.23
"923",826.92
"924",150
"925",680
"926",149.5
"927",120
"928",432
"929",136
"930",434.75
"931",2884.61
"932",1057.69
"933",198
"934",90
"935",2884.61
"936",1384.61
"937",2884.61
"938",2884
"939",1923.07
"940",192
"941",750
"942",500
"943",495
