"Timestamp","flip [1]","flip [2]","flip [3]","flip [4]","flip [5]","flip [6]","flip [7]","flip [8]","flip [9]","flip [10]"
"2022/01/18 4:15:30 PM MST","heads","heads","heads","tails","heads","heads","tails","heads","tails","tails"
"2022/01/18 4:15:31 PM MST","tails","heads","tails","tails","tails","heads","heads","tails","tails","heads"
"2022/01/18 4:15:32 PM MST","heads","tails","tails","tails","heads","tails","tails","heads","heads","tails"
"2022/01/18 4:15:32 PM MST","tails","heads","tails","tails","heads","tails","heads","heads","tails","tails"
"2022/01/18 4:15:32 PM MST","tails","tails","heads","heads","heads","heads","tails","heads","tails","heads"
"2022/01/18 4:15:36 PM MST","heads","heads","heads","tails","heads","heads","tails","heads","heads","tails"
"2022/01/18 4:15:41 PM MST","tails","tails","heads","tails","heads","tails","heads","heads","tails","tails"
"2022/01/18 4:15:45 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","heads"
"2022/01/18 4:15:46 PM MST","heads","tails","tails","heads","heads","tails","heads","tails","heads","heads"
"2022/01/18 4:15:48 PM MST","heads","heads","tails","tails","heads","tails","tails","tails","tails","heads"
"2022/01/18 4:15:49 PM MST","heads","heads","tails","tails","heads","heads","heads","heads","tails","tails"
"2022/01/18 4:15:51 PM MST","tails","heads","tails","heads","heads","tails","heads","tails","heads","tails"
"2022/01/18 4:15:52 PM MST","tails","heads","tails","heads","tails","tails","heads","heads","heads","tails"
"2022/01/18 4:15:53 PM MST","heads","heads","tails","heads","tails","tails","tails","heads","tails","tails"
"2022/01/18 4:15:53 PM MST","heads","heads","tails","heads","heads","tails","tails","tails","heads","tails"
"2022/01/18 4:15:54 PM MST","heads","heads","tails","heads","tails","tails","heads","tails","heads","tails"
"2022/01/18 4:15:56 PM MST","tails","tails","heads","heads","tails","heads","heads","tails","tails","heads"
"2022/01/18 4:15:58 PM MST","tails","tails","heads","heads","heads","tails","tails","tails","tails","tails"
"2022/01/18 4:16:01 PM MST","tails","tails","tails","tails","heads","tails","heads","heads","tails","heads"
"2022/01/18 4:16:01 PM MST","heads","tails","tails","heads","heads","tails","heads","heads","heads","heads"
"2022/01/18 4:16:03 PM MST","heads","tails","tails","tails","heads","heads","heads","heads","heads","tails"
"2022/01/18 4:16:03 PM MST","tails","heads","heads","tails","heads","heads","tails","heads","heads","tails"
"2022/01/18 4:16:06 PM MST","heads","tails","tails","heads","tails","heads","heads","heads","tails","tails"
"2022/01/18 4:16:07 PM MST","heads","tails","heads","tails","tails","tails","heads","heads","heads","tails"
"2022/01/18 4:16:11 PM MST","tails","heads","tails","tails","tails","heads","heads","tails","heads","tails"
"2022/01/18 4:16:14 PM MST","tails","heads","heads","tails","tails","heads","heads","heads","tails","tails"
"2022/01/18 4:16:16 PM MST","tails","heads","tails","tails","heads","tails","tails","tails","heads","tails"
"2022/01/18 4:16:21 PM MST","tails","heads","heads","heads","tails","heads","tails","tails","tails","tails"
"2022/01/18 4:16:22 PM MST","heads","heads","tails","heads","heads","heads","heads","tails","heads","tails"
"2022/01/18 4:16:22 PM MST","tails","heads","tails","heads","tails","tails","heads","tails","heads","heads"
"2022/01/18 4:16:24 PM MST","heads","tails","tails","heads","heads","heads","tails","tails","heads","tails"
"2022/01/18 4:16:25 PM MST","heads","heads","heads","tails","tails","heads","heads","tails","tails","tails"
"2022/01/18 4:16:28 PM MST","heads","heads","heads","heads","heads","tails","tails","tails","tails","tails"
"2022/01/18 4:16:33 PM MST","heads","tails","heads","tails","heads","tails","heads","tails","tails","tails"
"2022/01/18 4:16:48 PM MST","tails","tails","tails","heads","heads","heads","tails","heads","heads","tails"
"2022/01/18 4:16:56 PM MST","heads","heads","heads","tails","tails","heads","tails","heads","tails","heads"
"2022/01/18 4:16:59 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","heads","tails"
"2022/01/18 4:17:00 PM MST","heads","heads","heads","heads","tails","tails","tails","heads","tails","tails"
"2022/01/18 4:17:01 PM MST","tails","heads","heads","tails","tails","heads","tails","tails","heads","heads"
"2022/01/18 4:17:05 PM MST","tails","heads","heads","tails","tails","heads","tails","tails","tails","tails"
"2022/01/18 4:17:12 PM MST","heads","tails","tails","heads","heads","heads","tails","tails","tails","heads"
"2022/01/18 4:17:18 PM MST","tails","tails","tails","tails","heads","heads","tails","tails","heads","tails"
"2022/01/18 4:17:18 PM MST","tails","heads","tails","tails","heads","heads","tails","heads","tails","tails"
"2022/01/18 4:17:22 PM MST","heads","heads","tails","tails","tails","tails","tails","tails","heads","heads"
"2022/01/18 4:17:26 PM MST","heads","heads","heads","tails","tails","tails","tails","heads","heads","heads"
"2022/01/18 4:17:28 PM MST","heads","tails","tails","heads","tails","heads","tails","tails","tails","tails"
"2022/01/18 4:17:40 PM MST","tails","heads","tails","tails","tails","tails","heads","heads","tails","tails"
"2022/01/18 4:17:48 PM MST","heads","tails","tails","heads","heads","tails","heads","heads","heads","tails"
"2022/01/18 4:17:49 PM MST","heads","tails","heads","tails","tails","tails","heads","tails","heads","heads"
"2022/01/18 4:18:00 PM MST","tails","heads","tails","tails","heads","heads","tails","tails","tails","tails"
"2022/01/18 4:18:11 PM MST","heads","heads","heads","tails","heads","heads","heads","tails","heads","tails"
"2022/01/18 4:18:39 PM MST","heads","tails","heads","heads","tails","tails","tails","heads","heads","tails"
"2022/01/18 4:18:39 PM MST","heads","heads","heads","heads","tails","heads","tails","tails","heads","tails"
"2022/01/18 4:18:39 PM MST","tails","tails","heads","tails","heads","heads","heads","heads","tails","tails"
"2022/01/18 4:18:47 PM MST","tails","tails","heads","tails","heads","heads","heads","heads","tails","tails"
"2022/01/18 4:19:34 PM MST","tails","heads","tails","tails","tails","tails","tails","heads","heads","heads"
"2022/01/18 4:19:38 PM MST","heads","heads","tails","heads","tails","heads","heads","heads","tails","heads"
"2022/01/18 4:19:58 PM MST","heads","heads","heads","tails","heads","tails","heads","tails","heads","heads"
"2022/01/18 4:20:06 PM MST","tails","tails","heads","heads","heads","tails","heads","heads","tails","heads"
"2022/01/18 4:20:34 PM MST","heads","tails","heads","tails","heads","tails","heads","tails","heads","heads"
"2022/01/18 4:22:20 PM MST","heads","tails","heads","heads","heads","heads","tails","tails","tails","heads"
