"popestimate2015","fips"
682545,"08031"
1978,"08033"
322387,"08035"
53605,"08037"
24735,"08039"
674471,"08041"
46692,"08043"
58095,"08045"
5828,"08047"
14615,"08049"
16067,"08051"
774,"08053"
6492,"08055"
1356,"08057"
565524,"08059"
1423,"08061"
7758,"08063"
7485,"08065"
54688,"08067"
333577,"08069"
14058,"08071"
5557,"08073"
22036,"08075"
148513,"08077"
726,"08079"
12937,"08081"
26168,"08083"
40946,"08085"
28360,"08087"
18343,"08089"
4691,"08091"
16510,"08093"
4349,"08095"
17787,"08097"
11954,"08099"
163591,"08101"
6571,"08103"
11543,"08105"
24130,"08107"
6251,"08109"
701,"08111"
7879,"08113"
2399,"08115"
30257,"08117"
23385,"08119"
4864,"08121"
285174,"08123"
10146,"08125"
948053,"09001"
895841,"09003"
183603,"09005"
164063,"09007"
859470,"09009"
271863,"09011"
151420,"09013"
116573,"09015"
173533,"10001"
556779,"10003"
215622,"10005"
672228,"11001"
259964,"12001"
27420,"12003"
181635,"12005"
26928,"12007"
568088,"12009"
1896425,"12011"
14462,"12013"
173115,"12015"
141058,"12017"
203967,"12019"
357305,"12021"
68348,"12023"
35458,"12027"
16203,"12029"
913010,"12031"
311003,"12033"
105392,"12035"
11761,"12037"
46036,"12039"
17199,"12041"
13670,"12043"
15871,"12045"
14295,"12047"
27502,"12049"
39119,"12051"
178439,"12053"
99491,"12055"
1349050,"12057"
19324,"12059"
147919,"12061"
48599,"12063"
14081,"12065"
8663,"12067"
325875,"12069"
701982,"12071"
286272,"12073"
39832,"12075"
8331,"12077"
18408,"12079"
363369,"12081"
343254,"12083"
156283,"12085"
2693117,"12086"
77482,"12087"
78444,"12089"
198664,"12091"
39469,"12093"
1288126,"12095"
323993,"12097"
1422789,"12099"
497909,"12101"
949827,"12103"
650092,"12105"
72023,"12107"
226640,"12109"
298563,"12111"
167040,"12113"
405549,"12115"
449144,"12117"
118891,"12119"
43760,"12121"
22493,"12123"
15234,"12125"
517887,"12127"
31535,"12129"
63508,"12131"
24687,"12133"
18454,"13001"
8398,"13003"
11299,"13005"
3180,"13007"
45459,"13009"
18495,"13011"
75370,"13013"
102747,"13015"
17403,"13017"
18963,"13019"
153721,"13021"
12243,"13023"
18455,"13025"
15658,"13027"
35137,"13029"
72651,"13031"
22745,"13033"
23593,"13035"
6479,"13037"
52102,"13039"
10886,"13043"
114545,"13045"
66050,"13047"
12965,"13049"
286956,"13051"
11368,"13053"
