"","TRTFRIEND","TRTSPONLY","TRTCCC","TRTALONE","TRTFAMILY","TRCHILDNUM","TRERNHLY","TRERNWA","TUCC2","TUCC4"
"7236",0,0,0,180,30,1,26.5,2250,510,1170
"3143",0,680,0,240,680,0,16,654,450,1200
"508",0,750,0,0,870,0,15,1153.84,480,1260
"6988",0,345,0,470,445,0,12.74,1730.76,420,1230
"7037",0,0,0,900,0,0,12,385,450,1275
"6353",0,0,0,870,0,0,17,1442.3,480,1260
"1836",0,15,0,550,15,0,9,2076.92,480,1260
"844",0,0,0,210,0,0,13.25,1634.61,360,1200
"4950",0,0,0,810,0,0,9.5,1250,540,1380
"3925",0,0,0,0,110,2,22,300,315,1290
"2537",0,175,0,105,175,0,41,750,390,1230
"4246",0,0,0,649,0,0,12,400,600,1320
"5814",60,0,0,820,0,0,33,865,360,1230
"5211",0,0,0,225,45,1,32,1538.46,540,1290
"2084",0,0,0,635,0,0,24.07,1000,390,1350
"7549",347,0,0,396,0,0,28.63,692.3,405,1350
"720",0,0,0,0,745,4,32,1153.84,510,0
"3990",0,0,0,390,0,0,16.5,792.4,555,0
"2600",0,0,0,1000,0,0,18.25,2884.61,390,1290
"2667",0,0,0,860,0,0,20,865,510,0
"728",0,0,30,437,0,1,16.5,800,480,1320
"8602",0,0,0,550,430,3,22,1000,360,1380
"7832",0,70,0,340,160,1,15,904,510,1260
"5229",0,480,0,245,555,1,19.2,550,420,1320
"4950.1",0,0,0,810,0,0,15,1153.84,450,1260
"4316",0,0,0,422,113,0,18,1984.61,450,1200
"6242",0,335,0,0,335,0,52,2680,90,1380
"3464.1",0,0,0,285,10,1,16.5,205,600,1320
"4774",0,450,0,90,450,0,17,1634.61,400,1410
"8269",0,20,0,295,260,3,11.92,17,570,1290
"6787",0,337,0,236,512,1,30,2666,420,1260
"6001",0,0,0,795,60,0,37,1384.61,375,1245
"1265",0,0,0,59,661,0,27.58,326.92,540,1230
"5475",0,0,0,990,0,0,19,1250,555,1140
"5847",0,690,0,210,690,0,13,1958.33,420,1290
"7719",0,120,0,0,840,6,30,826.92,450,1230
"2854",0,45,0,120,165,0,19,1057.69,600,1200
"753",0,70,0,290,145,1,32,600,420,1260
"472",0,0,0,90,0,0,20,1423.07,410,1320
"1226",0,0,0,435,285,0,15.89,1400,420,1320
